date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:36:48	25978/25978	---M--	200	added ('OK')	text/css	etag:%22657a-5cd4fbcfd4291%22	http://meeyer.veracruz.tecnm.mx/css/green-scheme.css	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/css/green-scheme.css	(from http://meeyer.veracruz.tecnm.mx/)
23:36:53	69319/69319	---M--	200	added ('OK')	application/javascript	etag:%2210ec7-5cd4fbc75a3e7%22	http://meeyer.veracruz.tecnm.mx/carrusel/jquery-3.1.1.slim.min.js	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/carrusel/jquery-3.1.1.slim.min.js	(from http://meeyer.veracruz.tecnm.mx/)
23:36:58	93111/93111	---M--	200	added ('OK')	application/javascript	etag:%2216bb7-5cd4fc30a7f0e%22	http://meeyer.veracruz.tecnm.mx/js/jquery-1.10.2.min.js	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/js/jquery-1.10.2.min.js	(from http://meeyer.veracruz.tecnm.mx/)
23:37:31	260236/260236	---M--	200	added ('OK')	font/ttf	etag:%223f88c-5cd4fbd8b038a%22	http://meeyer.veracruz.tecnm.mx/fonts/Montserrat-Medium.ttf	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/fonts/Montserrat-Medium.ttf	(from http://meeyer.veracruz.tecnm.mx/)
23:37:36	263192/263192	---M--	200	added ('OK')	font/ttf	etag:%2240418-5cd4fbd95d128%22	http://meeyer.veracruz.tecnm.mx/fonts/Montserrat-Regular.ttf	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/fonts/Montserrat-Regular.ttf	(from http://meeyer.veracruz.tecnm.mx/)
23:37:36	364655/364655	---M--	200	added ('OK')	application/javascript	etag:%225906f-5cd4fc31a3a64%22	http://meeyer.veracruz.tecnm.mx/js/jquery-1.7.2.js	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/js/jquery-1.7.2.js	(from http://meeyer.veracruz.tecnm.mx/)
23:37:37	3741/3741	---M--	200	added ('OK')	text/css	etag:%22e9d-5cd4fbd24d372%22	http://meeyer.veracruz.tecnm.mx/css/noticarrusel/slick-theme.css	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/css/noticarrusel/slick-theme.css	(from http://meeyer.veracruz.tecnm.mx/)
23:37:37	1893/1893	---M--	200	added ('OK')	text/css	etag:%22765-5cd4fbd24d372%22	http://meeyer.veracruz.tecnm.mx/css/noticarrusel/slick.css	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/css/noticarrusel/slick.css	(from http://meeyer.veracruz.tecnm.mx/)
23:37:37	196/196	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20May%202022%2004:39:45%20GMT	http://meeyer.veracruz.tecnm.mx/images/flechas/izquierda_gris.png	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/images/flechas/izquierda_gris.27.delayed	(from http://meeyer.veracruz.tecnm.mx/)
23:37:38	196/196	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20May%202022%2004:39:46%20GMT	http://meeyer.veracruz.tecnm.mx/images/flechas/derecha_gris.png	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/images/flechas/derecha_gris.28.delayed	(from http://meeyer.veracruz.tecnm.mx/)
23:37:39	196/196	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20May%202022%2004:39:46%20GMT	http://meeyer.veracruz.tecnm.mx/images/flechas/izquierda_azul.png	C:/Users/carli/Desktop/Energias/meeyer.veracruz.tecnm.mx/images/flechas/izquierda_azul.29.delayed	(from http://meeyer.veracruz.tecnm.mx/)
